,transformed_x,transformed_y,Cell_Num,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells
122,8745.809505028594,13102.543876947348,d2287560-b0a9-4c63-b660-870145ff2a9c,1,0,0,0,0
123,9512.522184973379,13098.994281206862,14e281da-0dcd-4b4b-bbdd-0bfb204009d3,1,0,0,0,0
124,9117.92545848945,13103.92427529087,3fb1321f-0c26-4f5b-9b3a-8b930d45e945,0,0,1,0,0
125,9539.735752317098,13104.71307434431,74c573a5-2954-4054-bca0-760f3563af36,1,0,0,0,0
126,9258.134490238612,13105.699073161111,ab2c1102-466d-4c4a-9f64-bf985991c06f,0,0,1,0,0
127,9453.756655492014,13106.685071977912,a54d3f49-b846-480e-9d91-928e917a831b,0,0,1,0,0
128,9733.583119700255,13112.009465588642,7695f8ff-d0f9-468f-b6c7-4702d71d6892,0,0,1,0,0
129,9037.073555511734,13109.051469138238,c907efe7-0762-43c5-918c-648ffc2fa00d,0,0,1,0,0
130,9501.084598698482,13116.939459672649,ac5679ce-1ff0-4961-8617-e31872499ab5,0,0,1,0,0
131,9921.711693945968,13119.897456123053,5ed4d084-2122-4099-bb0e-b02cf11c6662,0,1,0,0,0
132,8884.243738907513,13114.967462039047,5f8e34a4-0e08-42a2-a8b8-c9da4ebabe62,0,0,0,0,1
133,8999.60560047328,13113.192664168802,7881c4cf-b839-4cfd-a6dd-1048f9ebb16e,0,0,1,0,0
134,8717.807138631433,13117.136659436008,53f66136-e0fc-4e7f-ad60-0e4e5a313269,1,0,0,0,0
135,8983.238020114375,13116.150660619207,f03a0c7c-25a1-4536-ab33-aa3c582627cc,0,0,1,0,0
136,9814.829422204693,13114.770262275686,a8bb2de3-3848-4d3c-b584-b4e62296a8f7,0,0,1,0,0
137,9098.599881680142,13114.770262275686,315c5d35-0596-4f72-b4a5-52e35b155fe7,0,0,1,0,0
138,9519.424176690989,13116.939459672649,50148582-d815-4c90-b3a7-b6f172e4ac1a,1,0,0,0,0
139,9897.061723525932,13121.672253993296,e11d8530-c04b-4403-b52b-ddf52faed429,0,1,0,0,0
140,9848.156182212582,13125.024649970419,914d35e0-f56d-4ba3-a92d-5a1176759a1c,0,1,0,0,0
141,9434.628278446065,13125.024649970419,2081297a-5ea0-48ed-b23d-ebe7b9b0cf07,0,0,1,0,0
142,9648.392821928614,13121.869453756657,4d391152-957c-4734-b461-25c9db862be2,0,0,1,0,0
143,9878.524945770065,13133.898639321633,d520308c-d39b-4643-9d9f-6dde7ad46f0e,0,1,0,0,0
144,9242.35850916979,13128.574245710905,9813fbb9-6759-4db4-8b41-831df55ec722,0,0,1,0,0
145,9522.973772431475,13129.757444291068,04929d66-aa25-4a1e-97b9-b7c4c162267e,1,0,0,0,0
146,9761.191086570696,13130.151843817788,d07fbc35-8fab-4c8d-b5b2-ef3b4cc4d6d8,0,0,1,0,0
147,9001.577598106882,13134.687438375075,66d6bc0b-528f-4375-ada0-962ee7b9e257,0,0,1,0,0
148,9552.948136462237,13129.757444291068,f038c5a8-0753-41e2-9671-adb491e8780e,0,0,0,0,1
149,9799.64504042595,13135.279037665154,1f49cd67-976d-45c0-a524-5a6db8430272,0,0,1,0,0
150,9602.642476829027,13137.842634588838,07f8c022-4d30-4a84-9c59-32b55f69902f,0,0,0,0,1
151,8693.74876750148,13141.392230329324,42557741-3f80-458b-915c-5d3233274b38,0,0,1,0,0
152,9088.937093275488,13137.842634588838,8e166582-2d02-4484-ab92-45ab22452e3c,0,0,1,0,0
153,9535.791757049892,13137.64543482548,99d7d1e1-c455-49ac-b488-ab2bed66f13d,1,0,0,0,0
154,8980.674423190692,13144.153027016368,84b3dc69-1081-4b66-8ee4-6dff1c12ecb2,0,0,1,0,0
155,9448.037862354566,13141.392230329324,3da852ed-cde5-47b1-80f1-6ed91995433a,0,0,1,0,0
156,9651.745217905738,13141.589430092685,d384f637-5930-4231-a223-e5cc0335a2f9,0,0,1,0,0
157,9632.419641096432,13143.364227962926,e74b14b7-f27e-4696-8532-f3160f2d222d,0,0,1,0,0
158,9843.423387891935,13141.786629856044,52775be9-f2e1-47f4-9567-ff613c7b974b,0,1,0,0,0
159,9753.105896272926,13152.23821731414,cc36f34b-6357-4f8c-9d8e-0ccfef3289fe,0,0,0,0,1
160,9991.520410175508,13153.22421613094,d4cf0ca4-ce90-4660-8318-f29c5bb8c9f5,0,1,0,0,0
161,9290.080851902978,13150.069019917175,f59b7dfa-1aa1-4813-867c-2f448fcff970,0,0,1,0,0
162,8910.86570696115,13154.407414711102,1b70a1a9-3964-41ce-b064-9949b64166e8,0,0,1,0,0
163,9251.03529875764,13155.196213764544,a65a635f-7653-48c3-9e99-346d7f63fadd,0,0,1,0,0
164,9703.411555906134,13152.4354170775,1994c0bf-f008-4978-8747-39c89281a31f,0,0,0,0,1
165,9860.974166831,13159.33740879511,9b05d79f-aac9-4aae-a9fd-aca0d347fc11,0,1,0,0,0
166,8649.576020508775,13154.01301518438,ccfa6726-811f-4afe-9646-461094bdf6df,0,0,1,0,0
167,9224.216130940644,13157.957010451586,2c59aa49-bf2c-43d7-8762-d56a120ac3c9,0,0,1,0,0
168,9518.043778347466,13156.773811871426,a5023ca5-6698-4f7b-85f7-623eb544f4a4,1,0,0,0,0
169,9461.644646026425,13161.506606192072,977bc0f7-943e-48ae-bde8-f3cbe1e7cd72,0,0,1,0,0
170,9807.335831197002,13165.64780122264,d5043ee3-310d-439a-b80d-647dfc80a236,0,0,1,0,0
171,9897.258923289291,13165.64780122264,3fe838a4-ce7f-4c41-927f-f36456a93d29,0,1,0,0,0
172,8647.406823111813,13170.380595543285,b126fe0c-6798-44d2-9bb7-f8b63495716f,0,0,0,0,1
173,9842.634588838493,13182.409781108263,9449793d-a75d-449e-9945-a050f88c9095,0,1,0,0,0
174,9873.003352395977,13172.94419246697,5e03faf7-8bed-4607-9da8-7222ffe39de7,0,1,0,0,0
175,9929.796884243739,13180.2405837113,4a9fbb7f-e78d-4dec-98e1-2791c970f20e,0,1,0,0,0
176,9965.490041411951,13181.620982054821,3082aeb5-28c6-41ed-93e1-c6209c747c84,0,1,0,0,0
177,9883.257740090712,13192.664168802998,6cacc32a-82fd-464d-b8ed-4378a092c412,0,1,0,0,0
178,9727.075527509367,13194.24176690988,2b9847d8-6385-4b19-8b50-4f2b0b8c0b7a,1,0,0,0,0
179,9915.79570104516,13198.382961940446,7aa44768-9935-4934-8e73-f5c1cf9aa55c,0,1,0,0,0
180,8686.452376257148,13196.016564780122,c9663de0-676c-4cd3-a8ef-e9d0b1ded0b6,0,0,1,0,0
181,10012.226385328337,13207.059751528299,45a9ddd4-4e51-4987-b776-1f7656280b4e,0,1,0,0,0
182,8597.71248274502,13214.750542299349,b7d606b8-947b-4f9a-a82c-7b56ecc89def,0,0,1,0,0
183,8577.598106882271,13221.060934726878,d49897b4-9bd4-494b-8bb4-04e2c6cc4b0f,0,0,1,0,0
184,9727.075527509367,13221.060934726878,f450625a-dcf3-4288-8f39-400880fdf7e8,1,0,0,0,0
185,9462.236245316506,13223.821731413922,f24af861-d7a4-4112-a544-ba3d7037e4b4,0,0,0,0,1
186,9561.427726286729,13223.427331887202,d955d79e-59ae-4a1e-805a-e2bae41c9ec6,0,0,1,0,0
187,8979.49122461053,13245.908104910275,7aec3ea7-78aa-412d-90ba-1efecc8a737a,0,0,1,0,0
188,9903.569315716823,13245.710905146912,a9523654-45aa-4e48-b0ef-a6b3a02ae236,0,1,0,0,0
189,9705.383553539736,13252.415697101163,63797b81-88c8-46b9-a76d-23c4e6df15d3,0,0,1,0,0
190,8564.18852297377,13252.218497337803,0bcee2fc-630a-43a8-a54e-f4e18601c6c0,0,0,1,0,0
191,9491.224610530468,13254.979294024848,ac3ceab4-a80d-4d48-94fa-8c0c727f840c,0,0,0,0,1
192,8537.566554920133,13255.965292841649,79ee0d7b-f5d6-48d4-a6fc-982ca6afa043,0,0,1,0,0
193,9605.797673042793,13257.937290475253,374b80bd-200c-4804-911d-9a37909bc2a9,1,0,0,0,0
194,10072.175113389865,12901.794517846578,74288939-7fbe-4a7c-9d4f-cbfa02f46db1,0,1,0,0,0
195,10129.954644054427,12915.006901991717,1dcdf807-46b0-4873-ad35-141098e007a2,0,1,0,0,0
